"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[nu]"    
          0,           0,           0,      -3.466026851,      -18.59236744,      -20.82793541,       1.994103197,      -7.186444202
          0,           0,           1,      -3.599379542,      -3.473266127,      -5.932547777,       1.861161405,      -7.361911038
          0,           0,           2,      -3.639911912,      -3.449039548,      -5.333672625,       1.820510333,      -7.598610934
          0,           0,           3,      -3.672299476,      -3.449343238,      -5.124308223,       1.788019229,      -7.778817372
          0,           0,           4,      -3.703896674,      -3.457718508,      -5.010341207,       1.756354752,      -7.910833899
          0,           0,           5,      -3.730267945,       -3.45869218,      -4.918533701,       1.729902234,      -8.005390903
          0,           0,           6,      -3.750068861,      -3.463337638,      -4.840682045,       1.710044556,      -8.082257093
          0,           0,           7,      -3.759387326,      -3.465601592,      -4.776804218,       1.700670557,      -8.140811893
          0,           0,           8,       -3.76355694,       -3.46564199,      -4.724016489,       1.696452278,      -8.181807155
          0,           0,           9,       -3.76669231,       -3.46854658,      -4.679539018,       1.693290949,      -8.213689845
          0,           0,          10,      -3.767401708,      -3.473229028,      -4.641153905,       1.692568332,      -8.238480704
          0,           0,          11,       -3.76768301,      -3.476556732,      -4.607194058,       1.692260787,      -8.258085094
          0,           0,          12,      -3.769655835,      -3.478038212,      -4.575525804,       1.690271203,      -8.272911096
          0,           0,          13,      -3.772984118,      -3.481911385,      -4.545622291,        1.68694837,      -8.284218994
          0,           0,          14,      -3.774910342,      -3.482362864,      -4.517287653,       1.685035013,      -8.293523394
          0,           0,          15,      -3.778411991,      -3.482461175,      -4.489859224,        1.68155931,      -8.301853738
          0,           0,          16,      -3.782512792,      -3.485756454,      -4.462816098,       1.677465701,      -8.308753339
          0,           0,          17,      -3.784272354,      -3.485961383,      -4.435885386,       1.675712328,      -8.314198359
          0,           0,          18,      -3.787350862,      -3.485726643,      -4.409371264,       1.672637092,      -8.318360845
          0,           0,          19,      -3.791740229,       -3.48818461,      -4.384910175,       1.668249915,      -8.322226623
          0,           0,          20,      -3.794688944,      -3.487890222,       -4.36196059,       1.665302462,      -8.325574529
          0,           0,          21,      -3.798754208,        -3.4867558,      -4.340810063,       1.661238205,      -8.328116072
          0,           0,          22,      -3.803872471,      -3.489399645,       -4.32147025,       1.656122079,       -8.33079121
          0,           0,          23,        -3.8070612,      -3.489369176,      -4.303955332,       1.652937321,      -8.333706717
          0,           0,          24,      -3.810914145,      -3.487940614,      -4.287100077,       1.649089021,      -8.336440799
