"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
0, 0.000000000000000e+00, -0.000000000000000e+00, -1.970361041370779e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.887886157382745e+02, 0.000000000000000e+00, -3.058142234007108e+00, 1.285750440857106e+00, 1.792377235798879e-05, 1.001000000000000e+03, 2.491902240325942e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.426293516259941e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.745693800410032e-04, -0.000000000000000e+00, -0.000000000000000e+00, -5.012266154517315e+01, -0.000000000000000e+00
1, 5.000000000000000e-01, -0.000000000000000e+00, 1.041496895268210e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.881813503782041e+02, 0.000000000000000e+00, 1.616478186044095e-01, 1.288459817100236e+00, 1.789448884163213e-05, 1.001000000000000e+03, 2.487831018121355e-02, 3.098670714003144e-04, 0.000000000000000e+00, -1.153446396471524e-02, 2.075616429284274e+01, 0.000000000000000e+00, 7.551109707455760e-05, -0.000000000000000e+00, -0.000000000000000e+00, 2.181663094900955e+01, -0.000000000000000e+00
2, 5.000000000000000e-01, 5.000000000000000e-01, 1.246179732879682e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.881785733676822e+02, 0.000000000000000e+00, 1.934160690485305e-01, 1.288472233243558e+00, 1.789435486066415e-05, 1.001000000000000e+03, 2.487812391045113e-02, 2.205466038610997e-04, 0.000000000000000e+00, -7.031015488921903e-03, 1.751115582044928e+01, 0.000000000000000e+00, -9.056449170097205e-05, -0.000000000000000e+00, -0.000000000000000e+00, -2.609222498046709e+01, -0.000000000000000e+00
3, 0.000000000000000e+00, 5.000000000000000e-01, -1.970360217383131e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.887886166032404e+02, 0.000000000000000e+00, -3.058140955118938e+00, 1.285750437006088e+00, 1.792377239967802e-05, 1.001000000000000e+03, 2.491902246121903e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.426298578930567e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.745658115014632e-04, -0.000000000000000e+00, -0.000000000000000e+00, -5.012163125468513e+01, -0.000000000000000e+00
4, 1.000000000000000e+00, 0.000000000000000e+00, 3.341128628235310e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.882865547093679e+02, 0.000000000000000e+00, 5.185672246213426e+00, 1.287989619822302e+00, 1.789956412262646e-05, 1.001000000000000e+03, 2.488536623159595e-02, 6.100282922560397e-06, 0.000000000000000e+00, -2.141873228623686e-02, 1.256992790733205e+01, 0.000000000000000e+00, 1.286594902885607e-03, -0.000000000000000e+00, -0.000000000000000e+00, 3.711701561460450e+02, -0.000000000000000e+00
5, 1.000000000000000e+00, 5.000000000000000e-01, 3.324931894429028e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.882847685549787e+02, 0.000000000000000e+00, 5.160533748919802e+00, 1.287997599946691e+00, 1.789947796216644e-05, 1.001000000000000e+03, 2.488524644462306e-02, 6.032839366621240e-06, 0.000000000000000e+00, -2.106265878987069e-02, 1.250034739433181e+01, 0.000000000000000e+00, 1.121608447678541e-03, -0.000000000000000e+00, -0.000000000000000e+00, 3.235840982970963e+02, -0.000000000000000e+00
6, 2.400334924459457e-02, 0.000000000000000e+00, -2.134194100333843e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.882926206066468e+02, 0.000000000000000e+00, -3.312422940142548e+00, 1.287962519535400e+00, 1.789985672727525e-05, 1.001000000000000e+03, 2.488577303333684e-02, -8.672214333827273e-05, 0.000000000000000e+00, -7.379186487424358e-02, 1.097514591088895e+01, 0.000000000000000e+00, -2.532075847200994e-04, -0.000000000000000e+00, -0.000000000000000e+00, -7.291023670329980e+01, -0.000000000000000e+00
7, 6.408090144395828e-02, 0.000000000000000e+00, -1.299654899819870e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.882212823166142e+02, 0.000000000000000e+00, -2.017158000651669e+00, 1.288281306000547e+00, 1.789641534825922e-05, 1.001000000000000e+03, 2.488098856056594e-02, 4.147188655934021e-06, 0.000000000000000e+00, -3.472188984055806e-02, 2.400819122182355e+00, 0.000000000000000e+00, -1.039475655232900e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.997718335380201e+02, -0.000000000000000e+00
8, 1.250000000000000e-01, 0.000000000000000e+00, -2.974520563802798e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.881945337770449e+02, 0.000000000000000e+00, -4.616670128515906e-01, 1.288400876774629e+00, 1.789512488568350e-05, 1.001000000000000e+03, 2.487919445912387e-02, 5.221115725298078e-04, 0.000000000000000e+00, -2.179473318994543e-02, 2.694112181794347e+01, 0.000000000000000e+00, -1.218934594537380e-03, -0.000000000000000e+00, -0.000000000000000e+00, -3.515731352971058e+02, -0.000000000000000e+00
9, 2.055463343858719e-01, 0.000000000000000e+00, -2.761275078228209e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.881868188516528e+02, 0.000000000000000e+00, -4.285697777787070e-02, 1.288435368000421e+00, 1.789475267438360e-05, 1.001000000000000e+03, 2.487867698202498e-02, 7.756085723081596e-04, 0.000000000000000e+00, -1.868977893563769e-02, 3.283750579590789e+01, 0.000000000000000e+00, -2.467596458232137e-04, -0.000000000000000e+00, -0.000000000000000e+00, -7.128233063362507e+01, -0.000000000000000e+00
