"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[nu]"    
          0,           0,           0,      -7.320644479,      -6.846026458,      -6.560547479,      0.8451613219,       -11.3980038
          0,           0,           1,       -7.52003949,      -6.903783613,      -6.856106655,      0.8000803319,      -11.39193792
          0,           0,           2,      -7.583471841,      -6.923267382,      -6.971961755,      0.7633459468,      -11.38494982
          0,           0,           3,      -7.617706019,      -6.940431685,      -7.018123316,      0.7270959828,      -11.37636534
          0,           0,           4,      -7.643366064,      -6.956044008,      -7.054405902,      0.7063855881,      -11.36864893
          0,           0,           5,       -7.66077614,      -6.968249132,      -7.092685666,      0.6904287947,      -11.36458108
          0,           0,           6,      -7.672269543,      -6.977832764,      -7.137328994,      0.6758272387,      -11.36550716
          0,           0,           7,      -7.681837886,      -6.986355382,      -7.181404592,      0.6717289871,       -11.3712655
          0,           0,           8,      -7.693338684,      -6.994453296,      -7.209523469,      0.6604305488,      -11.38066898
          0,           0,           9,      -7.708295495,      -7.001631006,        -7.2129572,      0.6535334986,      -11.39198305
          0,           0,          10,      -7.725202153,      -7.007021722,      -7.200623797,      0.6474263673,      -11.40329859
          0,           0,          11,      -7.740741581,      -7.010066069,      -7.187942592,      0.6379589858,      -11.41284124
          0,           0,          12,      -7.752112128,      -7.010709735,      -7.184645205,      0.6278562096,      -11.41926652
          0,           0,          13,       -7.75896655,      -7.009312527,       -7.19409079,      0.6218121628,      -11.42190224
          0,           0,          14,      -7.763506807,      -7.006515985,      -7.216086427,       0.611083104,      -11.42083299
          0,           0,          15,      -7.768919166,      -7.003107789,      -7.248593497,      0.6027647342,       -11.4167778
          0,           0,          16,      -7.777676898,      -6.999856468,      -7.288395541,      0.5987357289,      -11.41082525
          0,           0,          17,      -7.790692539,      -6.997352926,      -7.331648088,      0.5872722299,      -11.40415214
          0,           0,          18,      -7.807281907,       -6.99591909,      -7.374854226,      0.5826332276,      -11.39780524
          0,           0,          19,       -7.82561999,      -6.995601868,      -7.415980992,      0.5779108369,      -11.39256966
          0,           0,          20,       -7.84348433,      -6.996229059,      -7.454724782,      0.5703104489,      -11.38891378
          0,           0,          21,      -7.859069075,      -6.997490725,      -7.491398297,      0.5655449481,      -11.38699108
          0,           0,          22,      -7.871535283,      -6.999022374,      -7.525283178,      0.5589667951,      -11.38668108
          0,           0,          23,      -7.881016109,         -7.000471,      -7.553856486,      0.5507051372,      -11.38765535
          0,           0,          24,      -7.888186431,      -7.001533176,       -7.57392118,      0.5431722037,      -11.38945806
          0,           0,          25,      -7.893782154,      -7.001963883,      -7.584149979,      0.5358687283,      -11.39159167
          0,           0,          26,      -7.898360312,      -7.001568699,      -7.586614488,       0.529830073,      -11.39359757
          0,           0,          27,      -7.902318691,      -7.000196619,      -7.585600495,      0.5255794321,      -11.39512025
          0,           0,          28,      -7.906023835,       -6.99774618,      -7.585164482,      0.5208009938,      -11.39594547
          0,           0,          29,      -7.909896795,      -6.994184779,      -7.587627656,      0.5140994993,      -11.39600813
          0,           0,          30,      -7.914389304,      -6.989563144,      -7.593408242,      0.5076777049,      -11.39537274
          0,           0,          31,      -7.919880548,      -6.984014789,      -7.601583542,       0.502562936,      -11.39419528
          0,           0,          32,      -7.926560355,      -6.977734976,      -7.610706981,      0.4976789921,      -11.39267776
          0,           0,          33,      -7.934351956,      -6.970947471,      -7.619610462,      0.4933971251,      -11.39102548
          0,           0,          34,      -7.942897585,       -6.96387245,      -7.627912386,      0.4857983221,       -11.3894139
          0,           0,          35,      -7.951606595,      -6.956705535,      -7.636010605,      0.4804030043,      -11.38796843
          0,           0,          36,       -7.95975381,      -6.949610378,      -7.644618483,      0.4763783938,      -11.38675708
          0,           0,          37,      -7.966608898,      -6.942720836,      -7.654159687,      0.4702781981,      -11.38579409
          0,           0,          38,      -7.971569802,      -6.936146767,      -7.664342985,      0.4650899264,      -11.38505116
          0,           0,          39,      -7.974269159,      -6.929978543,      -7.674094187,      0.4600318522,      -11.38447297
          0,           0,          40,      -7.974630155,      -6.924283606,      -7.681893897,      0.4543980406,      -11.38399576
          0,           0,          41,      -7.972851663,      -6.919110398,      -7.686413598,      0.4493679525,      -11.38356509
          0,           0,          42,      -7.969346364,        -6.9144865,      -7.687172487,      0.4438929789,      -11.38315223
          0,           0,          43,      -7.964653268,      -6.910420839,      -7.684780313,      0.4387879094,       -11.3827655
          0,           0,          44,      -7.959352089,      -6.906909069,      -7.680617608,      0.4334154698,      -11.38245408
          0,           0,          45,      -7.953996988,        -6.9039412,      -7.676208739,      0.4283008084,      -11.38230306
          0,           0,          46,      -7.949075469,      -6.901509594,      -7.672675425,      0.4229533489,      -11.38242122
          0,           0,          47,      -7.944989255,      -6.899615418,      -7.670466396,       0.417773136,      -11.38292429
          0,           0,          48,      -7.942051554,       -6.89827233,      -7.669351213,      0.4124230018,      -11.38391743
          0,           0,          49,      -7.940494345,      -6.897507083,       -7.66859656,      0.4071855238,      -11.38548026
          0,           0,          50,      -7.940480931,      -6.897357505,      -7.667252174,      0.4018180428,      -11.38765713
          0,           0,          51,      -7.942119932,      -6.897868982,      -7.664472407,      0.3965457124,      -11.39045389
          0,           0,          52,      -7.945479679,      -6.899090345,       -7.65977268,      0.3911819872,      -11.39384092
          0,           0,          53,      -7.950598578,       -6.90106997,      -7.653128858,      0.3858915848,      -11.39776106
          0,           0,          54,      -7.957491513,      -6.903852468,       -7.64489186,      0.3805172592,      -11.40214016
          0,           0,          55,      -7.966151643,      -6.907475853,      -7.635584904,      0.3752120232,      -11.40689743
          0,           0,          56,      -7.976547797,      -6.911968965,       -7.62569461,      0.3698165481,       -11.4119535
          0,           0,          57,      -7.988618425,      -6.917348914,      -7.615538316,      0.3644949239,      -11.41723462
          0,           0,          58,      -8.002263232,      -6.923618457,      -7.605232056,      0.3591022048,      -11.42267298
          0,           0,          59,      -8.017333667,      -6.930763423,      -7.594738506,      0.3537543435,      -11.42820388
          0,           0,          60,      -8.033623602,      -6.938750415,       -7.58395648,      0.3483339187,      -11.43376161
          0,           0,          61,      -8.050861536,      -6.947525069,      -7.572812043,      0.3429630953,      -11.43927588
          0,           0,          62,      -8.068706494,      -6.957011081,      -7.561321071,      0.3375139532,      -11.44467006
          0,           0,          63,      -8.086750873,       -6.96711009,      -7.549608821,      0.3321042198,      -11.44986191
          0,           0,          64,      -8.104534826,      -6.977702364,       -7.53788979,      0.3266275096,      -11.45476728
          0,           0,          65,      -8.121576477,      -6.988648014,      -7.526424299,      0.3211711456,      -11.45930491
          0,           0,          66,      -8.137421286,      -6.999788815,      -7.515471211,      0.3156633521,      -11.46340203
          0,           0,          67,      -8.151705713,      -7.010950367,      -7.505252213,        0.31013796,      -11.46699914
          0,           0,          68,      -8.164223881,      -7.021944846,       -7.49593389,      0.3045889295,      -11.47005327
          0,           0,          69,      -8.174978264,      -7.032574809,      -7.487626528,      0.2990172317,      -11.47253938
          0,           0,          70,      -8.184197153,      -7.042638621,      -7.480395078,       0.293422634,      -11.47444993
          0,           0,          71,      -8.192310182,      -7.051938075,      -7.474275532,       0.287805687,      -11.47579351
          0,           0,          72,      -8.199889226,      -7.060288544,      -7.469290467,      0.2821629767,      -11.47659231
          0,           0,          73,       -8.20757327,       -7.06753103,      -7.465462199,      0.2764882548,      -11.47687972
          0,           0,          74,      -8.215995414,      -7.073544849,      -7.462820161,       0.270789157,      -11.47669816
          0,           0,          75,      -8.225725249,      -7.078258983,      -7.461402862,      0.2650677144,      -11.47609716
          0,           0,          76,      -8.237230407,      -7.081659721,        -7.4612559,      0.2593234743,      -11.47513173
          0,           0,          77,      -8.250853868,      -7.083792778,      -7.462427711,      0.2535522534,      -11.47386097
          0,           0,          78,      -8.266800287,      -7.084759094,      -7.464964804,      0.2477463855,      -11.47234664
          0,           0,          79,      -8.285124347,      -7.084704895,      -7.468907739,      0.2419096356,       -11.4706519
          0,           0,          80,      -8.305714983,      -7.083807856,      -7.474288351,      0.2360433703,       -11.4688398
          0,           0,          81,       -8.32827181,      -7.082261763,       -7.48112827,      0.2301587984,      -11.46697191
          0,           0,          82,      -8.352273577,      -7.080262023,      -7.489438377,      0.2242570022,      -11.46510682
          0,           0,          83,      -8.376944575,      -7.077993749,      -7.499218352,      0.2183411453,      -11.46329876
