"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     ,     "rms[nu]"    
          0,           0,           0,      -3.466026852,      -19.57048927,      -17.25957521,        4.95729402,       1.574612541
          0,           0,          10,      -3.645768612,     -0.5497375871,      -2.203318378,       2.094131118,      0.4235471711
          0,           0,          20,      -3.672183795,      -0.963655957,      -2.232045989,       1.838686251,      0.1114162232
          0,           0,          30,      -3.687973034,      -1.203468174,      -2.274270274,        1.78393191,    -0.08271448466
          0,           0,          40,      -3.699197759,      -1.375664057,      -2.323845538,       1.764515268,     -0.2296401951
          0,           0,          50,      -3.707907296,      -1.510480064,      -2.377409944,       1.753550202,     -0.3508433696
          0,           0,          60,      -3.715048119,      -1.621278627,      -2.432923629,       1.745645903,     -0.4558120003
          0,           0,          70,      -3.721135218,      -1.715280022,      -2.489092506,       1.739259341,     -0.5495717929
          0,           0,          80,      -3.726490958,      -1.796890914,      -2.545045599,       1.733773393,     -0.6350936763
          0,           0,          90,      -3.731373725,      -1.869026336,      -2.600187348,       1.728829436,     -0.7142658744
          0,           0,         100,      -3.735786095,      -1.933723759,      -2.654120752,       1.724388877,     -0.7883485758
          0,           0,         110,      -3.739840971,      -1.992463797,      -2.706595893,        1.72032241,     -0.8582092786
          0,           0,         120,      -3.743672874,      -2.046349776,      -2.757470214,       1.716487474,     -0.9244541623
          0,           0,         130,      -3.747325926,      -2.096218857,      -2.806677509,       1.712836835,     -0.9875061825
          0,           0,         140,      -3.751158155,      -2.142722326,      -2.854204345,       1.709012177,      -1.047654202
          0,           0,         150,      -3.754911253,      -2.186363248,      -2.900070213,       1.705268597,      -1.105086053
          0,           0,         160,      -3.758676685,      -2.227536545,      -2.944316805,       1.701513528,      -1.159912431
          0,           0,         170,      -3.762521707,      -2.266555074,      -2.986997593,       1.697679773,      -1.212185707
          0,           0,         180,      -3.766562924,      -2.303668486,      -3.028171319,       1.693651353,      -1.261916044
          0,           0,         190,      -3.770881331,      -2.339082242,      -3.067897708,       1.689346334,      -1.309086116
          0,           0,         200,      -3.775249216,      -2.372961109,      -3.106233892,       1.684990553,       -1.35366503
          0,           0,         210,      -3.779512652,      -2.405429457,       -3.14323099,       1.680737897,      -1.395621469
          0,           0,         220,      -3.783158113,      -2.436579466,      -3.178937685,       1.677102459,      -1.434935592
          0,           0,         230,       -3.78722427,      -2.466510105,      -3.213402064,       1.673046613,      -1.471609022
          0,           0,         240,      -3.791196881,      -2.495297558,      -3.246661062,       1.669082011,      -1.505672101
          0,           0,         250,      -3.796266573,      -2.523018583,       -3.27874793,       1.664021349,      -1.537187835
          0,           0,         260,      -3.801252712,      -2.549736173,      -3.309690136,       1.659035992,      -1.566252332
          0,           0,         270,      -3.802460809,      -2.575409996,      -3.339507332,       1.657829532,      -1.592991951
          0,           0,         280,      -3.811143829,      -2.600269024,      -3.368216541,       1.649154096,      -1.617557878
          0,           0,         290,      -3.815819417,       -2.62420951,      -3.395830417,        1.64448107,      -1.640119084
          0,           0,         300,      -3.816512728,      -2.647198094,      -3.422360635,       1.643788953,      -1.660854709
          0,           0,         310,      -3.815554614,      -2.669318429,      -3.447810259,       1.644743429,      -1.679946773
          0,           0,         320,        -3.8177457,      -2.690659332,      -3.472184164,       1.642557651,      -1.697573881
          0,           0,         330,      -3.812730587,      -2.711076338,      -3.495497235,       1.647582437,      -1.713906291
