"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.790034018697435e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.999912406673877e+02, 0.000000000000000e+00, 2.778261708361687e-01, 1.237736439150523e+00, 1.845874804065538e-05, 1.001000000000000e+03, 2.566278720652228e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.694499408983342e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.951226194264763e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.860839446719092e-01, -0.000000000000000e+00
1, 0.000000000000000e+00, 1.499999966472387e-02, -1.772201356417717e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.999999176785776e+02, 0.000000000000000e+00, -2.750584132264035e-01, 1.237700639630924e+00, 1.845915861674428e-05, 1.001000000000000e+03, 2.566335802133476e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.704693899115490e+01, 0.000000000000000e+00, 0.000000000000000e+00, 4.250897368296341e-06, -0.000000000000000e+00, -0.000000000000000e+00, 1.276537612209235e+00, -0.000000000000000e+00
2, 4.500000178813934e-02, 1.499999966472387e-02, -5.972177986406990e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.979546986663734e+02, 0.000000000000000e+00, -9.269250328118873e-01, 1.246196457588891e+00, 1.836222328055420e-05, 1.001000000000000e+03, 2.552859097754828e-02, 2.289027571765823e-02, 2.289001694961910e-02, -6.676506614588189e+02, 7.233128451076208e-01, 0.000000000000000e+00, 2.301444097752812e-07, -0.000000000000000e+00, -0.000000000000000e+00, 7.084067961798649e-02, -0.000000000000000e+00
3, 4.500000178813934e-02, 5.999999865889549e-02, 6.411759456378041e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000060579527e+02, 0.000000000000000e+00, 9.951512426475309e-02, 1.237700275006901e+00, 1.845916279862205e-05, 1.001000000000000e+03, 2.566336383530649e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.564478817253241e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.627175859361783e-07, -0.000000000000000e+00, -0.000000000000000e+00, -4.886658246108180e-02, -0.000000000000000e+00
4, 5.999999865889549e-02, 5.999999865889549e-02, 6.424211007238956e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000060518995e+02, 0.000000000000000e+00, 9.970838130124098e-02, 1.237700275031874e+00, 1.845916279833563e-05, 1.001000000000000e+03, 2.566336383490829e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.542792017091960e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.594187177403075e-07, -0.000000000000000e+00, -0.000000000000000e+00, -4.787595638101985e-02, -0.000000000000000e+00
5, 5.999999865889549e-02, 1.499999966472387e-02, 1.316350618241387e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.964506655669040e+02, 0.000000000000000e+00, 2.043070958003084e+00, 1.252518996002056e+00, 1.829073160855505e-05, 1.001000000000000e+03, 2.542919769467167e-02, 5.503121085318126e-02, -2.751550174045172e-02, -1.111933919840963e+03, 1.003620120602323e+00, 0.000000000000000e+00, -3.814703165123677e-07, -0.000000000000000e+00, -0.000000000000000e+00, -1.124723286221732e-01, -0.000000000000000e+00
6, 1.500000059604645e-01, 1.499999966472387e-02, 1.528339996796266e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000001522889244e+02, 0.000000000000000e+00, 2.372093740177349e+00, 1.237699671706828e+00, 1.845916971788271e-05, 1.001000000000000e+03, 2.566337345500082e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.464512948137785e+01, 0.000000000000000e+00, 0.000000000000000e+00, -7.811648607168188e-06, -0.000000000000000e+00, -0.000000000000000e+00, -2.345859935117919e+00, -0.000000000000000e+00
7, 1.500000059604645e-01, 0.000000000000000e+00, 9.257740562543333e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.000154113963385e+02, 0.000000000000000e+00, 1.436868005982203e+00, 1.237636720966567e+00, 1.845989172923878e-05, 1.001000000000000e+03, 2.566437725134447e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.939808452351338e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.327431894059767e-06, -0.000000000000000e+00, -0.000000000000000e+00, -9.997574835368450e-01, -0.000000000000000e+00
8, 5.999999865889549e-02, 0.000000000000000e+00, 1.024084798180947e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.943020724173070e+02, 0.000000000000000e+00, 1.589453357412614e+00, 1.261663184870472e+00, 1.818829608666884e-05, 1.001000000000000e+03, 2.528678386493820e-02, -1.054270252501865e-02, 0.000000000000000e+00, -1.924220876572183e+01, 8.012061319035896e+00, 0.000000000000000e+00, -6.091648105812905e-07, -0.000000000000000e+00, -0.000000000000000e+00, -1.718168335288242e-01, -0.000000000000000e+00
9, 4.500000178813934e-02, 0.000000000000000e+00, -4.705117745988048e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.911681213751916e+02, 0.000000000000000e+00, -7.302681586199050e-01, 1.275242936095808e+00, 1.803823211129612e-05, 1.001000000000000e+03, 2.507815325473252e-02, -1.386628609304552e-02, 0.000000000000000e+00, -1.877561653331773e+01, 9.314749045551777e+00, 0.000000000000000e+00, 6.478331975637565e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.966929665113032e-01, -0.000000000000000e+00
10, 0.000000000000000e+00, 1.574144233018160e-03, 1.936270857838132e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.997646216765610e+02, 0.000000000000000e+00, 3.005231814120956e-01, 1.238672155250645e+00, 1.844802290714396e-05, 1.001000000000000e+03, 2.564787629173764e-02, 0.000000000000000e+00, 3.239910955524507e-06, -5.209340249176307e+00, 4.116278384653606e-01, 0.000000000000000e+00, 2.293720734109001e-06, -0.000000000000000e+00, -0.000000000000000e+00, 6.893718133524385e-01, -0.000000000000000e+00
11, 0.000000000000000e+00, 2.990873996168375e-03, 1.956055711399811e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.995845820845092e+02, 0.000000000000000e+00, 3.035939331677497e-01, 1.239416552802634e+00, 1.843949941117744e-05, 1.001000000000000e+03, 2.563602626470641e-02, 0.000000000000000e+00, 2.555810504073660e-05, -8.075341430784029e+00, 1.157000875488771e+00, 0.000000000000000e+00, 2.199530987645111e-06, -0.000000000000000e+00, -0.000000000000000e+00, 6.613080390576795e-01, -0.000000000000000e+00
12, 0.000000000000000e+00, 4.265930969268084e-03, 1.928921598791162e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.994171765368883e+02, 0.000000000000000e+00, 2.993825234814779e-01, 1.240109516409973e+00, 1.843157180432692e-05, 1.001000000000000e+03, 2.562500468907118e-02, 0.000000000000000e+00, 3.766105334075103e-05, -9.541628929377840e+00, 1.405476932048454e+00, 0.000000000000000e+00, 2.142302404863258e-06, -0.000000000000000e+00, -0.000000000000000e+00, 6.442875356472682e-01, -0.000000000000000e+00
13, 0.000000000000000e+00, 5.413481965661049e-03, 1.895535791296883e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.992574356323406e+02, 0.000000000000000e+00, 2.942008057266620e-01, 1.240771475620680e+00, 1.842400515156557e-05, 1.001000000000000e+03, 2.561448493988491e-02, 0.000000000000000e+00, 4.694681038625868e-05, -1.020716613131670e+01, 1.570271479122148e+00, 0.000000000000000e+00, 2.091145216911893e-06, -0.000000000000000e+00, -0.000000000000000e+00, 6.291979270742464e-01, -0.000000000000000e+00
14, 0.000000000000000e+00, 6.446277722716331e-03, 1.867632715961460e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.991098156036636e+02, 0.000000000000000e+00, 2.898700474874221e-01, 1.241383835066133e+00, 1.841701089728032e-05, 1.001000000000000e+03, 2.560476098358000e-02, 0.000000000000000e+00, 5.266391146508390e-05, -1.048011570174416e+01, 1.664179994204767e+00, 0.000000000000000e+00, 2.037873546706834e-06, -0.000000000000000e+00, -0.000000000000000e+00, 6.135130687667811e-01, -0.000000000000000e+00
15, 0.000000000000000e+00, 7.375794462859631e-03, 1.844725602973014e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.989792632742866e+02, 0.000000000000000e+00, 2.863146985834261e-01, 1.241925897915389e+00, 1.841082391378347e-05, 1.001000000000000e+03, 2.559615935791286e-02, 0.000000000000000e+00, 5.582162252328562e-05, -1.063513653758929e+01, 1.714295512573141e+00, 0.000000000000000e+00, 1.984803158010651e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.978429028727325e-01, -0.000000000000000e+00
16, 0.000000000000000e+00, 8.212358690798283e-03, 1.825380719719139e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.988692675958007e+02, 0.000000000000000e+00, 2.833122333880395e-01, 1.242382975629901e+00, 1.840561010740226e-05, 1.001000000000000e+03, 2.558891071876342e-02, 0.000000000000000e+00, 5.689838202623101e-05, -1.082945254028200e+01, 1.731559140815860e+00, 0.000000000000000e+00, 1.934810004494615e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.830138030032121e-01, -0.000000000000000e+00
17, 0.000000000000000e+00, 8.965267799794674e-03, 1.809339976989897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.987824775174279e+02, 0.000000000000000e+00, 2.808225945972213e-01, 1.242743861973437e+00, 1.840149559036514e-05, 1.001000000000000e+03, 2.558319039716042e-02, 0.000000000000000e+00, 5.643491756229061e-05, -1.112175225773443e+01, 1.725128627089084e+00, 0.000000000000000e+00, 1.889050744318209e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.693684618979655e-01, -0.000000000000000e+00
18, 0.000000000000000e+00, 9.642885066568851e-03, 1.796824820210707e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.987207583817864e+02, 0.000000000000000e+00, 2.788801521357609e-01, 1.243000627112225e+00, 1.839856927527882e-05, 1.001000000000000e+03, 2.557912200632514e-02, 0.000000000000000e+00, 5.491983350720962e-05, -1.149498532532483e+01, 1.702260691433445e+00, 0.000000000000000e+00, 1.847428310266024e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.568924936074920e-01, -0.000000000000000e+00
19, 0.000000000000000e+00, 1.025274023413658e-02, 1.788104633015344e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.986849040797297e+02, 0.000000000000000e+00, 2.775267162836169e-01, 1.243149837599037e+00, 1.839686916536269e-05, 1.001000000000000e+03, 2.557675838128896e-02, 0.000000000000000e+00, 5.278336207717351e-05, -1.188537378541499e+01, 1.669076286098062e+00, 0.000000000000000e+00, 1.809571331388251e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.454602645578823e-01, -0.000000000000000e+00
20, 0.000000000000000e+00, 1.080161053687334e-02, 1.783183584622017e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.986749586044257e+02, 0.000000000000000e+00, 2.767629341334808e-01, 1.243191232820340e+00, 1.839639756138972e-05, 1.001000000000000e+03, 2.557610272076544e-02, 0.000000000000000e+00, 5.035117930106743e-05, -1.221710402165656e+01, 1.630237389158679e+00, 0.000000000000000e+00, 1.775150233035531e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.349991202297799e-01, -0.000000000000000e+00
21, 0.000000000000000e+00, 1.129559427499771e-02, 1.781671862480998e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.986894152629860e+02, 0.000000000000000e+00, 2.765283039703551e-01, 1.243131061986491e+00, 1.839708307840913e-05, 1.001000000000000e+03, 2.557705577984381e-02, 0.000000000000000e+00, 4.785804216397351e-05, -1.242446693310533e+01, 1.589266747228030e+00, 0.000000000000000e+00, 1.744097545592460e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.255189483366786e-01, -0.000000000000000e+00
22, 0.000000000000000e+00, 1.174017880111933e-02, 1.782742472178294e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.987257035825978e+02, 0.000000000000000e+00, 2.766944703054934e-01, 1.242980050082408e+00, 1.839880375497492e-05, 1.001000000000000e+03, 2.557944799823597e-02, 0.000000000000000e+00, 4.545951986019840e-05, -1.246076312403370e+01, 1.548690938265727e+00, 0.000000000000000e+00, 1.716542581546236e-06, -0.000000000000000e+00, -0.000000000000000e+00, 5.170784942384378e-01, -0.000000000000000e+00
