"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Diffusivity_0","Diffusivity_1","Eddy_Viscosity"
0, 0.000000000000000e+00, 0.000000000000000e+00, 3.424668012688544e+00, 1.056080561119214e+00, 4.040179081185291e-02, 1.000000000000000e+00, 3.367379021410546e-03, 2.281349296342744e+01, 4.695783442419150e-01, 4.695774696189517e-01, 6.849336025377088e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -9.121406385387536e-06, -7.756533848954624e-06, -6.412956350577145e-05, -2.749291307885329e+00, -3.494238099935077e-07, -2.581371173794207e-03, -7.628468869037630e-05, -7.628381190502668e-05, 1.000000000000000e-03, 1.000000000000000e-03, 1.476047103706928e-04
1, 0.000000000000000e+00, 1.500000000000000e-02, 3.499747685958446e+00, -7.702342163023243e-78, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 1.719130144669442e+06, 4.906633673187605e-01, 4.906595027880705e-01, 6.999495371916892e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 2.001182995752911e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.786795294489502e+00, -8.321089290582453e-07, -0.000000000000000e+00, -0.000000000000000e+00, -2.508067012054817e-01, -0.000000000000000e+00, -0.000000000000000e+00, -1.791622182682453e-06, -1.791228245851691e-06, 1.000000000000000e-03, 1.000000000000000e-03, 5.816895265903688e-17
2, 4.500000000000000e-02, 1.500000000000000e-02, 2.836237823966680e+00, 1.279397636363391e-72, 0.000000000000000e+00, 9.999999999999991e-01, 1.000000000000000e-10, 1.719130145566324e+06, 9.682818822844338e-01, 4.838579462106883e-02, 5.672475647933361e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 9.164648132384233e-03, 9.164648129999786e-03, -8.860827532329295e-12, 4.547228670749767e-01, -1.139426046991227e-06, -0.000000000000000e+00, -0.000000000000000e+00, -3.434354303070693e-01, -0.000000000000000e+00, -0.000000000000000e+00, -2.890452283451253e-07, 1.002218176701734e-06, 1.000000000000000e-03, 1.000000000000000e-03, 5.816895262868973e-17
3, 4.500000000000000e-02, 6.000000000000000e-02, 3.603740313360396e+00, 8.106535683324545e-63, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 9.323053395739864e+05, 6.682355279732501e-01, 1.610479942419860e-12, 7.207480626720793e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, -1.408277804430506e-01, 0.000000000000000e+00, 2.035405095519053e+00, 4.644877376224225e-06, -0.000000000000000e+00, -0.000000000000000e+00, 1.400016670357382e+00, -0.000000000000000e+00, -0.000000000000000e+00, 1.476854885691371e-06, 1.076442433541642e-18, 1.000000000000000e-03, 1.000000000000000e-03, 1.072609967520884e-16
4, 6.000000000000000e-02, 6.000000000000000e-02, 3.605472836862080e+00, -4.775827145629005e-63, 0.000000000000000e+00, 9.999999999999997e-01, 1.000000000000000e-10, 9.323053395664688e+05, 6.706969006095500e-01, 2.742365245171288e-13, 7.210945673724160e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, -1.410048207991596e-01, 0.000000000000000e+00, 2.036684089134284e+00, 6.364023249877682e-06, -0.000000000000000e+00, -0.000000000000000e+00, 1.918185975366514e+00, -0.000000000000000e+00, -0.000000000000000e+00, 9.631722442954852e-07, 1.189778808733737e-19, 1.000000000000000e-03, 1.000000000000000e-03, 1.072609967529533e-16
5, 6.000000000000000e-02, 1.500000000000000e-02, -1.268343326195675e+00, -1.079754960553750e-70, 0.000000000000000e+00, 9.999999999999998e-01, 1.000000000000000e-10, 1.719130144669442e+06, 8.494265419865007e-01, 1.624141978742796e-05, -2.536686652391349e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, -2.729088002959806e-02, 1.364544001832760e-02, -3.127807259600191e-13, 6.976983107895344e-01, 5.142770227774290e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.550087002846650e-01, -0.000000000000000e+00, -0.000000000000000e+00, -8.410472882027866e-06, 4.705555685089652e-10, 1.000000000000000e-03, 1.000000000000000e-03, 5.816895265903688e-17
6, 1.500000000000000e-01, 1.500000000000000e-02, 2.702217564085011e-01, -2.782019641623857e-74, 0.000000000000000e+00, 1.000000000000000e+00, 1.000000000000000e-10, 1.719130145566324e+06, 1.000000000000000e+00, 6.013149265186586e-03, 5.404435128170022e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 4.259018080970382e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.243015944214668e-01, 1.802597591939164e-07, -0.000000000000000e+00, -0.000000000000000e+00, 5.433225625242155e-02, -0.000000000000000e+00, -0.000000000000000e+00, 1.989570562697309e-06, 4.323849071620197e-08, 1.000000000000000e-03, 1.000000000000000e-03, 5.816895262868973e-17
7, 1.500000000000000e-01, 0.000000000000000e+00, 4.257261053077763e-01, 2.397222241540785e+00, 7.914407359794002e-03, 1.000000000000000e+00, 8.552900812825660e-03, 9.894329080456691e+01, 9.184761277842336e-01, 4.363697400544696e-02, 8.514522106155527e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -6.017954718817763e-05, 7.802268407443392e-05, -1.742736442077130e-04, -1.813877147958112e+01, -9.432075032730897e-10, -1.851499365858184e-03, -4.213970560341539e-05, -3.726977103416798e-07, 1.000000000000000e-03, 1.000000000000000e-03, 8.644245348296910e-05
8, 6.000000000000000e-02, 0.000000000000000e+00, 1.366875305402919e+00, 2.159841472243039e+00, 5.551621384840249e-03, 1.000000000000001e+00, 1.349704980213754e-02, 1.063315367967100e+02, 9.306167912631287e-01, 2.294124769131038e-01, 2.733750610805838e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.527246181045683e-06, -4.431247169371489e-05, 8.884027580326401e-06, -4.603286459502911e-01, 1.781220895809979e-07, -1.432001625318895e-02, -6.137451345885814e-05, 9.921870642499780e-05, 1.000000000000000e-03, 1.000000000000000e-03, 1.269336474271211e-04
9, 4.500000000000000e-02, 0.000000000000000e+00, 2.991117384836766e+00, 1.208669191784218e+00, 5.273155085406889e-02, 1.000000000000000e+00, 2.153584594926875e-03, 1.776821946096600e+01, 7.358893800211901e-01, 4.891215365739880e-01, 5.982234769673531e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.870417981253102e-06, -2.342540472099901e-05, -4.415200046331590e-05, -8.651752671056460e-01, -8.797552500597373e-08, -1.544792001107657e-03, -9.562518714833620e-06, 4.703780847013499e-06, 1.000000000000000e-03, 1.000000000000000e-03, 5.054966998569708e-05
