"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
0, 0.000000000000000e+00, 0.000000000000000e+00, -2.286160794712487e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.975265391031280e+02, 0.000000000000000e+00, -3.548286193873175e+00, 1.247989813343331e+00, 1.834188931012539e-05, 1.001000000000000e+03, 2.550032111032710e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.395709924729263e+02, 0.000000000000000e+00, 0.000000000000000e+00, -6.603746014180705e-06, -0.000000000000000e+00, -0.000000000000000e+00, -1.871846634061200e+00, -0.000000000000000e+00
1, 0.000000000000000e+00, 1.499999966472387e-02, -2.206665021461959e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.999263567377448e+02, 0.000000000000000e+00, -3.424903028809497e+00, 1.238004202227125e+00, 1.845567770004438e-05, 1.001000000000000e+03, 2.565851858020059e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.651889295867446e+02, 0.000000000000000e+00, 0.000000000000000e+00, -1.104534319302276e-05, -0.000000000000000e+00, -0.000000000000000e+00, -3.323326535531965e+00, -0.000000000000000e+00
2, 4.500000178813934e-02, 1.499999966472387e-02, -3.198292368469993e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.881952269514712e+02, 0.000000000000000e+00, -4.963980084541351e-01, 1.288397777880355e+00, 1.789515832807364e-05, 1.001000000000000e+03, 2.487924095333571e-02, 7.354899540037572e-02, 7.354816394995749e-02, -9.537389050598916e+00, 1.352728015405871e+00, 0.000000000000000e+00, -4.631585617459377e-05, -0.000000000000000e+00, -0.000000000000000e+00, -1.333847168147787e+01, -0.000000000000000e+00
3, 4.500000178813934e-02, 5.999999865889549e-02, -1.628346983325173e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000223735551122e+02, 0.000000000000000e+00, -2.527311785387510e+00, 1.237608001030605e+00, 1.846022115002046e-05, 1.001000000000000e+03, 2.566483523773678e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.763267483741605e+02, 0.000000000000000e+00, 0.000000000000000e+00, -1.625051542736283e-05, -0.000000000000000e+00, -0.000000000000000e+00, -4.881855968640174e+00, -0.000000000000000e+00
4, 5.999999865889549e-02, 5.999999865889549e-02, 1.857780081452802e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.999827856625229e+02, 0.000000000000000e+00, 2.883408476568061e+00, 1.237771324711010e+00, 1.845834796383207e-05, 1.001000000000000e+03, 2.566223098860542e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.574474646997587e+02, 0.000000000000000e+00, 0.000000000000000e+00, 1.119640131965308e-05, -0.000000000000000e+00, -0.000000000000000e+00, 3.362698771559390e+00, -0.000000000000000e+00
5, 5.999999865889549e-02, 1.499999966472387e-02, 3.605955184191458e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.882071619109657e+02, 0.000000000000000e+00, 5.596702132844107e-01, 1.288344423983144e+00, 1.789573412739976e-05, 1.001000000000000e+03, 2.488004147434328e-02, 1.289765889914407e-01, -6.448805148662944e-02, -1.042868580564294e+01, 1.592669478091462e+00, 0.000000000000000e+00, 5.956775494415785e-05, -0.000000000000000e+00, -0.000000000000000e+00, 1.721909197356502e+01, -0.000000000000000e+00
6, 1.500000059604645e-01, 1.499999966472387e-02, 2.061585682444274e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000339327884139e+02, 0.000000000000000e+00, 3.199729446599836e+00, 1.237560320424991e+00, 1.846076807728657e-05, 1.001000000000000e+03, 2.566559561856091e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.025344509493609e+02, 0.000000000000000e+00, 0.000000000000000e+00, 2.629353403214174e-05, -0.000000000000000e+00, -0.000000000000000e+00, 7.897660832818017e+00, -0.000000000000000e+00
7, 1.500000059604645e-01, 0.000000000000000e+00, 2.295130583428545e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.967623531669378e+02, 0.000000000000000e+00, 3.562207951930072e+00, 1.251203483317598e+00, 1.830556158452162e-05, 1.001000000000000e+03, 2.544981548070297e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.346276643548191e+02, 0.000000000000000e+00, 0.000000000000000e+00, 3.231494632600148e-06, -0.000000000000000e+00, -0.000000000000000e+00, 1.234041972984397e+00, -0.000000000000000e+00
8, 5.999999865889549e-02, 0.000000000000000e+00, 2.931035797240611e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.881546564403126e+02, 0.000000000000000e+00, 4.549178639206287e-02, 1.288579176845306e+00, 1.789320092753796e-05, 1.001000000000000e+03, 2.487651962286874e-02, 1.349140127204406e-02, 0.000000000000000e+00, -5.053394100751954e-02, 9.310749316890124e+00, 0.000000000000000e+00, 4.928086773986442e-06, -0.000000000000000e+00, -0.000000000000000e+00, 1.423963536428073e+00, -0.000000000000000e+00
9, 4.500000178813934e-02, 0.000000000000000e+00, -8.713980434094992e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.881535118207814e+02, 0.000000000000000e+00, -1.352472518096383e-02, 1.288584295411739e+00, 1.789314570129647e-05, 1.001000000000000e+03, 2.487644284305246e-02, 1.408271420409357e-02, 0.000000000000000e+00, -4.046580482907725e-02, 9.512649384609503e+00, 0.000000000000000e+00, -1.052620213994303e-06, -0.000000000000000e+00, -0.000000000000000e+00, -3.021724958414775e-01, -0.000000000000000e+00
