"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_Nu_Tilde"
0, 0.000000000000000e+00, 0.000000000000000e+00, 3.370747324175275e+00, 9.982472758564224e-01, 1.318669127120610e-04, 3.000000000000000e+02, 3.978850237574718e-05, 5.231642595336450e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.965466103650616e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.555639293561984e-06, -6.909221060211190e-07, -1.886008704836135e-06, -3.066166147086095e-06, -2.074839084382341e-01, 1.077987200034676e-12
1, 0.000000000000000e+00, 1.499999966472387e-02, 3.463756901675039e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.376000157806983e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 1.810226104212351e-01, 0.000000000000000e+00, -2.393499016761780e-11, 1.861163786504188e+00, 0.000000000000000e+00, -1.991341216603116e-08, -0.000000000000000e+00, -0.000000000000000e+00, -5.979997673458437e-03, -0.000000000000000e+00
2, 4.500000178813934e-02, 1.499999966472387e-02, 3.388131281358790e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.999995149252745e+02, 0.000000000000000e+00, 5.258623748810788e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, -4.310661896870265e-05, -4.310613166066826e-05, -1.484936609018777e-01, 3.415438218874217e-02, 0.000000000000000e+00, -1.207084086773286e-09, -0.000000000000000e+00, -0.000000000000000e+00, -3.633314958260015e-04, -0.000000000000000e+00
3, 4.500000178813934e-02, 5.999999865889549e-02, 3.394099940780634e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.267887538073310e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 0.000000000000000e+00, -1.571693640220695e-01, 0.000000000000000e+00, 2.354890864580018e+00, 0.000000000000000e+00, -2.199368164973158e-08, -0.000000000000000e+00, -0.000000000000000e+00, -6.604702599414681e-03, -0.000000000000000e+00
4, 5.999999865889549e-02, 5.999999865889549e-02, 3.391502793236597e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.263856578048420e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 0.000000000000000e+00, -1.571057415242903e-01, 0.000000000000000e+00, 2.354414183882486e+00, 0.000000000000000e+00, -2.168773462471117e-08, -0.000000000000000e+00, -0.000000000000000e+00, -6.512826707801349e-03, -0.000000000000000e+00
5, 5.999999865889549e-02, 1.499999966472387e-02, -3.651826586059267e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000044317211e+02, 0.000000000000000e+00, -5.667897852024317e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, -2.170233053787964e-02, 1.085112437885538e-02, -4.060001505769272e-03, 6.813946329388180e-01, 0.000000000000000e+00, -1.511130747836324e-09, -0.000000000000000e+00, -0.000000000000000e+00, -4.539802304402901e-04, -0.000000000000000e+00
6, 1.500000059604645e-01, 1.499999966472387e-02, 3.916006886053245e-05, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000169125612e+02, 0.000000000000000e+00, 6.077924702860849e-05, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 2.429352759855493e-02, 0.000000000000000e+00, -6.432513717589899e-02, 6.818101670769142e-01, 0.000000000000000e+00, -3.714901221823797e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.142567366613220e-03, -0.000000000000000e+00
7, 1.500000059604645e-01, 0.000000000000000e+00, -8.637383983074357e-05, 2.502684889674867e+00, 2.157383760102330e-05, 3.000000062978903e+02, 3.370913807309369e-05, -1.340584197279894e-04, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.779491299995791e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.883538161800320e-06, -4.107540968944709e-08, -6.703766801209294e-07, -8.491004168764416e-07, -1.233525719093348e-02, -1.781042834365439e-12
8, 5.999999865889549e-02, 0.000000000000000e+00, 1.153836295672186e+00, 2.111316224754813e+00, 1.041462744927382e-03, 2.999999999247050e+02, 3.656109029474206e-05, 1.790837025721226e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.856533278664490e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.576223284695717e-06, -5.072121117902229e-08, -1.188564387926464e-07, -2.821079841719455e-07, -1.523158094863498e-02, -5.038435660849477e-13
9, 4.500000178813934e-02, 0.000000000000000e+00, 3.070300411983188e+00, 1.216297608089678e+00, -4.028743516420185e-04, 2.999999999999999e+02, 3.744803725365416e-05, 4.765327350586975e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.883979908483787e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.822996180173903e-06, -3.666737393315939e-08, -4.990618537315315e-08, -2.081959330301419e-07, -1.101121239230974e-02, -1.393731927110737e-13
10, 0.000000000000000e+00, 1.574144233018160e-03, 3.371508432065989e+00, 9.982501307172105e-01, -4.425102830762534e-04, 3.000000000000001e+02, 3.977718396985885e-05, 5.232823889594893e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.965065474219172e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.552037230741805e-06, -3.766920419563582e-07, -2.618499986312255e-06, -2.245218019493704e-10, -1.131206201994233e-01, 4.980823410322615e-13
11, 0.000000000000000e+00, 2.990873996168375e-03, 3.373256208610238e+00, 9.982841950165692e-01, -1.112948467159546e-03, 3.000000000000001e+02, 3.974506251077756e-05, 5.235536564659689e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.963858927523630e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.541189158554111e-06, -3.403685275634328e-07, -2.354598125623419e-06, 3.933823688942808e-09, -1.022126688274051e-01, 4.336211572808536e-13
12, 0.000000000000000e+00, 4.265930969268084e-03, 3.376034826825025e+00, 9.983808156954530e-01, -1.968311118773670e-03, 3.000000000000000e+02, 3.970354573874937e-05, 5.239849180234402e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.962300621404051e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.527178414222236e-06, -3.071682705075088e-07, -2.118280163244588e-06, 1.669322677508498e-09, -9.224263163332580e-02, 4.078418897572809e-13
13, 0.000000000000000e+00, 5.413481965661049e-03, 3.379766594739495e+00, 9.985495896617103e-01, -3.065692526387374e-03, 3.000000000000001e+02, 3.965136751186827e-05, 5.245641152785186e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.960348447330724e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.509626399576942e-06, -2.775468391825759e-07, -1.907754788632888e-06, 1.121169338437756e-09, -8.334731580646301e-02, 3.699079248440171e-13
14, 0.000000000000000e+00, 6.446277722716331e-03, 3.384395037622878e+00, 9.987865769850990e-01, -4.446483131075815e-03, 3.000000000000001e+02, 3.958519563177197e-05, 5.252824829462793e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.957882488615836e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.487454942599922e-06, -2.509179048133890e-07, -1.719384737673947e-06, 5.033984728916313e-10, -7.535064681536596e-02, 3.351834058645301e-13
15, 0.000000000000000e+00, 7.375794462859631e-03, 3.389865278989954e+00, 9.990823589114834e-01, -6.140478073196923e-03, 3.000000000000000e+02, 3.950026402311850e-05, 5.261315038010173e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.954733367315415e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.459141164674059e-06, -2.269616100438517e-07, -1.549090120499068e-06, 1.822981854351166e-10, -6.815657149627441e-02, 3.034098343245951e-13
16, 0.000000000000000e+00, 8.212358690798283e-03, 3.396136714990877e+00, 9.994632842682786e-01, -8.147098741272426e-03, 2.999999999999999e+02, 3.939178803986987e-05, 5.271048758328227e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.950737237221325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.423211923068856e-06, -2.054026089219792e-07, -1.395808511288089e-06, 2.457930623688304e-10, -6.168240345914489e-02, 2.742617839444380e-13
17, 0.000000000000000e+00, 8.965267799794674e-03, 3.403119838353886e+00, 1.000015461540956e+00, -1.046568566585375e-02, 3.000000000000001e+02, 3.925319306688200e-05, 5.281887068685218e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.945673809376516e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.377686597790848e-06, -1.860547682913574e-07, -1.257682302892565e-06, 3.776868093748775e-10, -5.587224691782922e-02, 2.471752539549979e-13
18, 0.000000000000000e+00, 9.642885066568851e-03, 3.410745966581592e+00, 1.000720650970333e+00, -1.307967854776067e-02, 3.000000000000000e+02, 3.907431723537467e-05, 5.293723368898949e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.939208503372053e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.319556973375103e-06, -1.685472979494080e-07, -1.134187702358717e-06, 5.539624080915469e-10, -5.061475357419482e-02, 2.209770024178639e-13
19, 0.000000000000000e+00, 1.025274023413658e-02, 3.418928368890438e+00, 1.001573708601579e+00, -1.594792352848778e-02, 3.000000000000001e+02, 3.884209608330236e-05, 5.306423046547320e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.930931542748150e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.245138745987362e-06, -1.528058658089877e-07, -1.022988485852446e-06, 1.035859816711460e-09, -4.588760150244248e-02, 1.976318820787214e-13
20, 0.000000000000000e+00, 1.080161053687334e-02, 3.427528002956215e+00, 1.002546268459820e+00, -1.902053941099178e-02, 3.000000000000001e+02, 3.853918584397623e-05, 5.319770297929869e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.920331276676912e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.149831658433775e-06, -1.386163262658523e-07, -9.238872726360418e-07, 1.625115219983296e-09, -4.162648277764402e-02, 1.746769405746627e-13
21, 0.000000000000000e+00, 1.129559427499771e-02, 3.436422403625284e+00, 1.003637482205270e+00, -2.224943818441505e-02, 3.000000000000000e+02, 3.814500186354852e-05, 5.333575048308682e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.906866013290603e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.028765354261163e-06, -1.258430747405701e-07, -8.351940391612904e-07, 2.212711769202898e-09, -3.779067534466662e-02, 1.542139703256810e-13
22, 0.000000000000000e+00, 1.174017880111933e-02, 3.445484116517640e+00, 1.004864132516191e+00, -2.558547456546805e-02, 2.999999999999999e+02, 3.763556614444270e-05, 5.347639479307218e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.890007473218959e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.877190068901732e-06, -1.143480141544469e-07, -7.558734287952531e-07, 2.817441742557279e-09, -3.433870865063682e-02, 1.360485632182371e-13
23, 0.000000000000000e+00, 1.214030478149652e-02, 3.454594400410853e+00, 1.006269229030851e+00, -2.897682347136749e-02, 2.999999999999999e+02, 3.698452975641479e-05, 5.361779295996977e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.869338957478913e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.691359258052159e-06, -1.040078472941148e-07, -6.849992089452669e-07, 3.372921198106538e-09, -3.123355654238951e-02, 1.199777050292762e-13
24, 0.000000000000000e+00, 1.250041835010052e-02, 3.463639375786675e+00, 1.007936375565672e+00, -3.236469718924558e-02, 2.999999999999999e+02, 3.616474065668209e-05, 5.375817749164480e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.844677159075907e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.469624806876287e-06, -9.469474319463060e-08, -6.213839048764618e-07, 3.884849970141920e-09, -2.843683138138459e-02, 1.067851254985619e-13
25, 0.000000000000000e+00, 1.282452140003443e-02, 3.472517986015534e+00, 1.009966848048552e+00, -3.567600369363237e-02, 2.999999999999999e+02, 3.515027832344919e-05, 5.389597991642920e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.816197437704086e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.213563375960812e-06, -8.635463436251073e-08, -5.637484368859271e-07, 4.097923661150733e-09, -2.593229669909647e-02, 9.549524712839790e-14
26, 0.000000000000000e+00, 1.311621349304914e-02, 3.481141815023912e+00, 1.012382093753242e+00, -3.881320892804574e-02, 3.000000000000000e+02, 3.391856638896324e-05, 5.402982795318815e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.784524920395906e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.928795488075076e-06, -7.875153175651269e-08, -5.102276977488490e-07, 5.212405760633450e-09, -2.364908498650209e-02, 9.284446252937136e-14
27, 0.000000000000000e+00, 1.337873656302691e-02, 3.489336005671275e+00, 1.014882317048457e+00, -4.166044867235645e-02, 3.000000000000000e+02, 3.245219582769877e-05, 5.415700769317515e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.750755162600785e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.625171292114950e-06, -7.241805862574432e-08, -4.593472324710503e-07, 4.091889136370480e-09, -2.174714300529956e-02, 8.769139078342599e-14
28, 0.000000000000000e+00, 1.361500658094883e-02, 3.497365150905901e+00, 1.017291712460530e+00, -4.400866916145602e-02, 3.000000000000000e+02, 3.074498866130255e-05, 5.428162580949715e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.716469012834203e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.316904211296528e-06, -6.592775512505051e-08, -4.198364336535716e-07, 2.722660621199043e-09, -1.979810486405142e-02, 7.330182607916207e-14
29, 0.000000000000000e+00, 1.382764987647533e-02, 3.504630552858486e+00, 1.020791029588174e+00, -4.568938681534034e-02, 3.000000000000000e+02, 2.879858617940604e-05, 5.439439008006342e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.683426189927443e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.019815893453535e-06, -6.049311048275403e-08, -3.818322683962105e-07, 3.311289176843339e-09, -1.816608107796469e-02, 5.944647774410918e-14
30, 0.000000000000000e+00, 1.401902921497822e-02, 3.511577848653578e+00, 1.024587779397946e+00, -4.653469015162309e-02, 3.000000000000000e+02, 2.662028178890545e-05, 5.450221711397762e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.653290580728786e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.488663601988733e-07, -5.542907231324118e-08, -3.473743592123664e-07, 3.223268016304042e-09, -1.664535041567199e-02, 4.995307721465529e-14
31, 0.000000000000000e+00, 1.419127080589533e-02, 3.517776472158777e+00, 1.028534860938547e+00, -4.634412170523634e-02, 3.000000000000000e+02, 2.422424488949496e-05, 5.459842421478778e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.627423560234350e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.162957463627917e-07, -5.101877321515001e-08, -3.150936698768419e-07, 2.671312721768452e-09, -1.532093759648490e-02, 4.059314427219646e-14
32, 0.000000000000000e+00, 1.434628758579493e-02, 3.523293375023592e+00, 1.027631314972213e+00, -4.498091948661985e-02, 3.000000000000000e+02, 2.163014307708168e-05, 5.468405052031028e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.606677710540018e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.297696252349275e-07, -4.674064427249427e-08, -2.823341307931448e-07, 2.350193325020137e-09, -1.403621547505202e-02, 3.018984445682059e-14
33, 0.000000000000000e+00, 1.448580343276262e-02, 3.528104169624301e+00, 1.018284580346995e+00, -4.223567014096360e-02, 3.000000000000000e+02, 1.887005456964640e-05, 5.475871751706194e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.591329919094184e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.917774943533058e-07, -4.317954645279161e-08, -2.549671341111371e-07, 2.405176097072521e-09, -1.296681779976439e-02, 2.147362911834848e-14
34, 0.000000000000000e+00, 1.461136713624001e-02, 3.532707633383913e+00, 9.942270380929330e-01, -3.768387728091895e-02, 3.000000000000000e+02, 1.602008549851548e-05, 5.483016658984810e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.581114521549439e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.993076318176805e-08, -4.001507023166295e-08, -2.281979657076148e-07, 1.544594998572318e-09, -1.201652559056043e-02, 1.063091353619765e-14
35, 0.000000000000000e+00, 1.472437474876642e-02, 3.537902483052624e+00, 9.387362223224062e-01, -3.060301196744871e-02, 3.000000000000000e+02, 1.325466929972542e-05, 5.491079439783678e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.575219483443926e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.692842257276140e-08, -3.695240848784775e-08, -2.017049759341228e-07, 5.970582756852566e-10, -1.109680826889559e-02, -2.073238407819733e-13
36, 0.000000000000000e+00, 1.482608169317245e-02, 3.541671250333157e+00, 8.184841284804425e-01, -2.089067209429316e-02, 3.000000000000000e+02, 1.073066237090232e-05, 5.496928838015143e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.572245001848408e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.018483180386754e-08, -3.450236846757866e-08, -1.754047612875911e-07, -3.761164195724766e-10, -1.036106125081204e-02, -5.592537561490084e-14
37, 0.000000000000000e+00, 1.491761766374111e-02, 3.560862145889764e+00, 5.599329275931751e-01, -6.874313571944951e-03, 3.000000000000000e+02, 6.715077978052131e-06, 5.526714489973248e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570344660566683e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.098846253888676e-09, -3.084114890337627e-08, -1.477768587733002e-07, -3.308752968413636e-09, -9.261597015683520e-03, -1.972540630458335e-14
38, 4.722432699054480e-03, 1.499999966472387e-02, 3.374911037310585e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.238104977977007e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 7.875166108256641e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.227575023265841e+00, 0.000000000000000e+00, -1.834599236587335e-08, -0.000000000000000e+00, -0.000000000000000e+00, -5.509301507471791e-03, -0.000000000000000e+00
39, 8.972621522843838e-03, 1.499999966472387e-02, 3.355746719674036e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.208360576864871e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 4.031728394530842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.783423349430616e-01, 0.000000000000000e+00, -1.687292716962376e-08, -0.000000000000000e+00, -0.000000000000000e+00, -5.066940029037997e-03, -0.000000000000000e+00
40, 1.279779244214296e-02, 1.499999966472387e-02, 3.343387018800190e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.189177431010695e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 2.859520243057352e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.397155863427429e-01, 0.000000000000000e+00, -1.509470510082140e-08, -0.000000000000000e+00, -0.000000000000000e+00, -4.532939941776665e-03, -0.000000000000000e+00
41, 1.624044589698315e-02, 1.499999966472387e-02, 3.336770515161255e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.178908140868005e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 2.432657932439466e-02, 0.000000000000000e+00, 4.786998033523560e-11, 6.822738161502923e-01, 0.000000000000000e+00, -1.354592208847999e-08, -0.000000000000000e+00, -0.000000000000000e+00, -4.067840403170550e-03, -0.000000000000000e+00
42, 1.933883316814899e-02, 1.499999966472387e-02, 3.332348596267266e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.000000000000000e+02, 0.000000000000000e+00, 5.172045004294997e+00, 1.288600000000000e+00, 1.716000000000000e-05, 1.001000000000000e+03, 2.570000000000000e-02, 2.216500807203910e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.512565870195198e-01, 0.000000000000000e+00, -1.213348290892336e-08, -0.000000000000000e+00, -0.000000000000000e+00, -3.643684917549687e-03, -0.000000000000000e+00
